STATE,District,TEHSIL,Latitude,Longitude
MAHARASHTRA,AHAMADNAGAR,Kajrat,18.5,74.75
MAHARASHTRA,AHAMADNAGAR,Kajrat,18.5,75
MAHARASHTRA,AHAMADNAGAR,Shrigonda,18.75,74.5
MAHARASHTRA,AHAMADNAGAR,Shrigonda,18.75,74.75
MAHARASHTRA,AHAMADNAGAR,Kajrat,18.75,75
MAHARASHTRA,AHAMADNAGAR,Parner,19,74.25
MAHARASHTRA,AHAMADNAGAR,Parner,19,74.5
MAHARASHTRA,AHAMADNAGAR,Nagar,19,74.75
MAHARASHTRA,AHAMADNAGAR,Parner,19.25,74.25
MAHARASHTRA,AHAMADNAGAR,Parner,19.25,74.5
MAHARASHTRA,AHAMADNAGAR,Nagar,19.25,74.75
MAHARASHTRA,AHAMADNAGAR,Pathardi,19.25,75
MAHARASHTRA,AHAMADNAGAR,Pathardi,19.25,75.25
MAHARASHTRA,AHAMADNAGAR,Akole,19.5,73.75
MAHARASHTRA,AHAMADNAGAR,Akole,19.5,74
MAHARASHTRA,AHAMADNAGAR,Sangammer,19.5,74.25
MAHARASHTRA,AHAMADNAGAR,Rahuri,19.5,74.5
MAHARASHTRA,AHAMADNAGAR,Rahuri,19.5,74.75
MAHARASHTRA,AHAMADNAGAR,Newasa,19.5,75
MAHARASHTRA,AHAMADNAGAR,Shevgaon,19.5,75.25
MAHARASHTRA,AHAMADNAGAR,Sangammer,19.75,74.25
MAHARASHTRA,AHAMADNAGAR,Rahata,19.75,74.5
MAHARASHTRA,AKOLA,Patur,20.5,76.75
MAHARASHTRA,AKOLA,Patur,20.5,77
MAHARASHTRA,AKOLA,Barshi,20.5,77.25
MAHARASHTRA,AKOLA,Akola,20.75,77
MAHARASHTRA,AKOLA,Akola,20.75,77.25
MAHARASHTRA,AKOLA,Murtizapur,20.75,77.5
MAHARASHTRA,AKOLA,Akot,21,77
MAHARASHTRA,AMARAVATI,Nandgaon,20.75,77.75
MAHARASHTRA,AMARAVATI,Chandur-Railway,20.75,78
MAHARASHTRA,AMARAVATI,Dhamangaon,20.75,78.25
MAHARASHTRA,AMARAVATI,Daryapur,21,77.25
MAHARASHTRA,AMARAVATI,Daryapur,21,77.5
MAHARASHTRA,AMARAVATI,Amaravati,21,77.75
MAHARASHTRA,AMARAVATI,Teosa,21,78
MAHARASHTRA,AMARAVATI,Dharni,21.25,76.75
MAHARASHTRA,AMARAVATI,Chikhaldar,21.25,77
MAHARASHTRA,AMARAVATI,Chikhaldar,21.25,77.25
MAHARASHTRA,AMARAVATI,Achalpur,21.25,77.5
MAHARASHTRA,AMARAVATI,Chandurbazar,21.25,77.75
MAHARASHTRA,AMARAVATI,Morshi,21.25,78
MAHARASHTRA,AMARAVATI,Dharni,21.5,77
MAHARASHTRA,AMARAVATI,Chikhaldar,21.5,77.25
MAHARASHTRA,AMARAVATI,Warud,21.5,78.25
MAHARASHTRA,AURANGABAD,Paithan,19.5,75.5
MAHARASHTRA,AURANGABAD,Vaijapur,19.75,74.75
MAHARASHTRA,AURANGABAD,Gangapur,19.75,75
MAHARASHTRA,AURANGABAD,Paithan,19.75,75.25
MAHARASHTRA,AURANGABAD,Aurangabad,19.75,75.5
MAHARASHTRA,AURANGABAD,Vaijapur,20,74.75
MAHARASHTRA,AURANGABAD,Gangapur,20,75
MAHARASHTRA,AURANGABAD,Khuldabad,20,75.25
MAHARASHTRA,AURANGABAD,Aurangabad,20,75.5
MAHARASHTRA,AURANGABAD,Kannad,20.25,75
MAHARASHTRA,AURANGABAD,Kannad,20.25,75.25
MAHARASHTRA,AURANGABAD,Sillod,20.25,75.5
MAHARASHTRA,AURANGABAD,Soegaon,20.5,75.25
MAHARASHTRA,AURANGABAD,Sillod,20.5,75.5
MAHARASHTRA,AURANGABAD,Sillod,20.5,75.75
MAHARASHTRA,BHANDARA,Lakhandur,20.75,79.75
MAHARASHTRA,BHANDARA,Pauni,21,79.75
MAHARASHTRA,BHANDARA,Sakoli,21,80
MAHARASHTRA,BHANDARA,Mohadi,21.25,79.75
MAHARASHTRA,BHANDARA,Tumsar,21.5,79.5
MAHARASHTRA,BHANDARA,Tumsar,21.5,79.75
MAHARASHTRA,BID,Ashti,18.75,75.25
MAHARASHTRA,BID,Patoda,18.75,75.5
MAHARASHTRA,BID,B\d,18.75,75.75
MAHARASHTRA,BID,Kej,18.75,76
MAHARASHTRA,BID,Kej,18.75,76.25
MAHARASHTRA,BID,Ambejogai,18.75,76.5
MAHARASHTRA,BID,Ashti,19,75
MAHARASHTRA,BID,Ashti,19,75.25
MAHARASHTRA,BID,Shirur,19,75.5
MAHARASHTRA,BID,B\d,19,75.75
MAHARASHTRA,BID,Wadwani,19,76
MAHARASHTRA,BID,Majalgaon,19,76.25
MAHARASHTRA,BID,Georai,19.25,75.5
MAHARASHTRA,BID,Georai,19.25,75.75
MAHARASHTRA,BID,Majalgaon,19.25,76
MAHARASHTRA,BULDHANA,Deulgaon-Raja,20,76
MAHARASHTRA,BULDHANA,Sindkhed-raja,20,76.25
MAHARASHTRA,BULDHANA,Lonar,20,76.5
MAHARASHTRA,BULDHANA,Chikhli,20.25,76.25
MAHARASHTRA,BULDHANA,Mehekar,20.25,76.5
MAHARASHTRA,BULDHANA,Mehekar,20.25,76.75
MAHARASHTRA,BULDHANA,Buldhana,20.5,76
MAHARASHTRA,BULDHANA,Buldhana,20.5,76.25
MAHARASHTRA,BULDHANA,Kahamgaon,20.5,76.5
MAHARASHTRA,BULDHANA,Motala,20.75,76
MAHARASHTRA,BULDHANA,Nandura,20.75,76.25
MAHARASHTRA,BULDHANA,Kahamgaon,20.75,76.5
MAHARASHTRA,BULDHANA,Shegaon,20.75,76.75
MAHARASHTRA,BULDHANA,Jalgaon,21,76.5
MAHARASHTRA,BULDHANA,Sangrampur,21,76.75
MAHARASHTRA,CHANDRAPUR,Korapana,19.75,79
MAHARASHTRA,CHANDRAPUR,Rajura,19.75,79.25
MAHARASHTRA,CHANDRAPUR,Gondpipri,19.75,79.5
MAHARASHTRA,CHANDRAPUR,Gondpipri,19.75,79.75
MAHARASHTRA,CHANDRAPUR,Chandrapur,20,79.25
MAHARASHTRA,CHANDRAPUR,Chandrapur,20,79.5
