STATE,District,TEHSIL,Latitude,Longitude
ANDAMAN & NICOBAR,NICOBAR,CAMPBELL BAY,7,93.75
TAMIL NADU,KANYAKUMARI,KALKULAM,8.25,77.25
TAMIL NADU,KANYAKUMARI,TOVALA,8.25,77.5
TAMIL NADU,TIRUNELVELI,RADHAPURAM,8.25,77.75
KERALA,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,8.5,77
TAMIL NADU,KANYAKUMARI,VILAVANCODE,8.5,77.25
TAMIL NADU,TIRUNELVELI,NANGUNERI,8.5,77.5
TAMIL NADU,TIRUNELVELI,NANGUNERI,8.5,77.75
TAMIL NADU,TUTICORIN,TIRUCHENDUR,8.5,78
KERALA,THIRUVANANTHAPURAM,VARKALA,8.75,76.75
KERALA,THIRUVANANTHAPURAM,NEDUMANGAD,8.75,77
TAMIL NADU,TIRUNELVELI,TENKASI,8.75,77.25
TAMIL NADU,TIRUNELVELI,CHERANMAHADEVI,8.75,77.5
TAMIL NADU,TIRUNELVELI,PALAYANKOTTAI,8.75,77.75
TAMIL NADU,TUTICORIN,TUTICORIN,8.75,78
KERALA,KOLLAM,KOTTARAKARA,9,76.75
KERALA,KOLLAM,PUNALUR,9,77
TAMIL NADU,TENKASI,SENGOTTAI,9,77.25
TAMIL NADU,TENKASI,VIRAKERALAMPUDUR,9,77.5
TAMIL NADU,TUTICORIN,KAYATHAR,9,77.75
TAMIL NADU,TUTICORIN,OTTAPIDARAM,9,78
TAMIL NADU,TUTICORIN,VILATTIKULAM,9,78.25
KERALA,ALAPPUZHA,KARTIKAPALLI,9.25,76.5
KERALA,PATTANAMTHITTA,KOZHANCHERI,9.25,76.75
KERALA,PATTANAMTHITTA,KONNI,9.25,77
KERALA,PATTANAMTHITTA,KONNI,9.25,77.25
TAMIL NADU,TENKASI,SANKARANKOVIL,9.25,77.5
TAMIL NADU,TUTICORIN,KOVILPATTI,9.25,77.75
TAMIL NADU,TUTICORIN,ETTAIYAPURAM,9.25,78
TAMIL NADU,TUTICORIN,VILATTIKULAM,9.25,78.25
TAMIL NADU,RAMANATHAPURAM,KADALADI,9.25,78.5
TAMIL NADU,RAMANATHAPURAM,KEELAKKARAI,9.25,78.75
KERALA,ALAPPUZHA,KUTTANAD,9.5,76.5
KERALA,KOTTAYAM,CHANGANASSERI,9.5,76.75
KERALA,IDUKKI,PIRMED,9.5,77
KERALA,IDUKKI,PIRMED,9.5,77.25
TAMIL NADU,VIRUDHUNAGAR,RAJAPALAIYAM,9.5,77.5
TAMIL NADU,VIRUDHUNAGAR,SIVAKASI,9.5,77.75
TAMIL NADU,VIRUDHUNAGAR,VIRUDHUNAGAR,9.5,78
TAMIL NADU,VIRUDHUNAGAR,THIRUCHULI,9.5,78.25
TAMIL NADU,RAMANATHAPURAM,MUDUKULATTUR,9.5,78.5
TAMIL NADU,RAMANATHAPURAM,PARAMAKKUDI,9.5,78.75
KERALA,KOTTAYAM,VAIKAM,9.75,76.5
KERALA,KOTTAYAM,MINACHIL,9.75,76.75
KERALA,IDUKKI,IDUKKI,9.75,77
TAMIL NADU,TENI,UTHAMAPALAYAM,9.75,77.25
TAMIL NADU,TENI,ANDIPATTI,9.75,77.5
TAMIL NADU,MADURAI,PERAIYUR,9.75,77.75
TAMIL NADU,MADURAI,KALLIGUDI,9.75,78
TAMIL NADU,VIRUDHUNAGAR,THIRUCHULI,9.75,78.25
TAMIL NADU,SIVAGANGA,KALAYARKOVIL,9.75,78.5
TAMIL NADU,RAMANATHAPURAM,TIRUVADANAI,9.75,78.75
TAMIL NADU,RAMANATHAPURAM,TIRUVADANAI,9.75,79
KERALA,ERNAKULAM,KANAYANNUR,10,76.25
KERALA,ERNAKULAM,KUNNATTUNAD,10,76.5
KERALA,ERNAKULAM,KOTAMANGALAM,10,76.75
KERALA,IDUKKI,DEVIKULAM,10,77
KERALA,IDUKKI,UDUMBANCHOLA,10,77.25
TAMIL NADU,TENI,TENI,10,77.5
TAMIL NADU,MADURAI,USILAMPATTI,10,77.75
TAMIL NADU,MADURAI,MADURAI NORTH,10,78
TAMIL NADU,MADURAI,MELUR,10,78.25
TAMIL NADU,SIVAGANGA,SIVAGANGA,10,78.5
TAMIL NADU,SIVAGANGA,KARAIKKUDI,10,78.75
TAMIL NADU,PUDUKKOTTAI,AVADIYARKOVIL,10,79
KERALA,TRISSUR,CHALAKKUDI,10.25,76.25
KERALA,ERNAKULAM,ALUVA,10.25,76.5
KERALA,ERNAKULAM,KOTAMANGALAM,10.25,76.75
TAMIL NADU,COIMBATORE,VALPARAI,10.25,77
KERALA,IDUKKI,DEVIKULAM,10.25,77.25
TAMIL NADU,DINDIGUL,KODAIKKANAL,10.25,77.5
TAMIL NADU,DINDIGUL,ATHUR,10.25,77.75
TAMIL NADU,DINDIGUL,DINDIGUL EAST,10.25,78
TAMIL NADU,DINDIGUL,NATTAM,10.25,78.25
TAMIL NADU,PUDUKKOTTAI,PONNAMARAVATHI,10.25,78.5
TAMIL NADU,PUDUKKOTTAI,TIRUMAYAM,10.25,78.75
TAMIL NADU,PUDUKKOTTAI,ARANTANGI,10.25,79
TAMIL NADU,THANJAVUR,PERAVURANI,10.25,79.25
KERALA,TRISSUR,TRISSUR,10.5,76.25
KERALA,PALAKKAD,ALATTUR,10.5,76.5
KERALA,PALAKKAD,CHITTUR,10.5,76.75
TAMIL NADU,COIMBATORE,VALPARAI,10.5,77
TAMIL NADU,TIRUPPUR,UDUMALAIPPETTAI,10.5,77.25
TAMIL NADU,DINDIGUL,PALANI,10.5,77.5
TAMIL NADU,DINDIGUL,ODDANCHATTRAM,10.5,77.75
TAMIL NADU,DINDIGUL,VEDASANDUR,10.5,78
TAMIL NADU,TIRUCHIRAPALLI,MANAPPARAI,10.5,78.25
TAMIL NADU,PUDUKKOTTAI,VIRALIMALAI,10.5,78.5
TAMIL NADU,PUDUKKOTTAI,ILUPPUR,10.5,78.75
TAMIL NADU,PUDUKKOTTAI,PUDUKKOTTAI,10.5,79
TAMIL NADU,THANJAVUR,PATTUKKOTTAI,10.5,79.25
TAMIL NADU,THIRUVARUR,MANNAR GUDI,10.5,79.5
TAMIL NADU,NAGAPATTINAM,VEDARANYAM,10.5,79.75
KERALA,MALAPPURAM,PONNANI,10.75,76
KERALA,PALAKKAD,OTTAPPALAM,10.75,76.25
KERALA,PALAKKAD,ALATTUR,10.75,76.5
KERALA,PALAKKAD,PALAKKAD,10.75,76.75
TAMIL NADU,COIMBATORE,KINATHUKADAVU,10.75,77
TAMIL NADU,TIRUPPUR,UDUMALAIPPETTAI,10.75,77.25
