DateTime,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,8.25 77.25_y,8.25 77.25_x_y,8.25 77.25_x_x_y,8.25 77.25_x_x_x_y,8.25 77.25_x_x_x_x_y,8.25 77.25_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.25_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_y,8.25 77.75,8.5 77.0,8.25 77.5,8.5 77.25
2025-07-28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-29,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-02,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04,,,,,,,,,1.6613,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-05,,,,,,,,,,2.6397,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2025-08-07,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2025-08-08,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2025-08-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2025-08-10,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2025-08-11,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2025-08-12,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2025-08-13,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2025-08-14,,,,,,,,,,,,,,,,,,,1.3142,,,,,,,,,,,,,,
2025-08-15,,,,,,,,,,,,,,,,,,,,2.0389,,,,,,,,,,,,,
2025-08-16,,,,,,,,,,,,,,,,,,,,,3.1996,,,,,,,,,,,,
2025-08-17,,,,,,,,,,,,,,,,,,,,,,4.3331,,,,,,,,,,,
2025-08-18,,,,,,,,,,,,,,,,,,,,,,,1.7111,,,,,,,,,,
2025-08-19,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
2025-08-20,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
2025-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2025-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
2025-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2025-08-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
